OID медицинской организации;Полное наименование медицинской организации;Наименование субъекта системы здравоохранения;Наименование региона РФ;OID структурного подразделения;Наименование структурного подразделения
1.2.643.5.1.13.13.12.2.48.4562;Государственное учреждение здравоохранения "Липецкий областной клинический центр";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4562.0.415513;Отдел информационных технологий и связи
1.2.643.5.1.13.13.12.2.48.4562;Государственное учреждение здравоохранения "Липецкий областной клинический центр";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4562.0.415515;Организационно-методический отдел
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218883;Отдел кадров
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218884;Акушерское отделение патологии беременности
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218885;Акушерское обсервационное отделение совместного пребывания матери и ребенка
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218886;Отделения анестезиологии-реанимации
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218892;Отделение для новорожденных детей
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218893;Родовое отделение
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.218894;Смотровая
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.224890;Дневной стационар
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.260793;Консультативно-диагностическое отделение (женская консультация)
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.260802;Общебольничные отделения
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.293575;Отделение статистики и информатизации
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.362180;Общеконсультационный медицинский персонал
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.362194;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.362222;Администрация
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.410492;Отделение ультразвуковой диагностики
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.414051;Бухгалтерия
1.2.643.5.1.13.13.12.2.48.4513;Государственное учреждение здравоохранения "Липецкий городской родильный дом";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4513.0.414056;Экономическая служба
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.194851;Поликлиника №2 (г.Липецк, ул. Монтажников, 3а)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.204296;Поликлиника №1 (с. Боринское)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.204336;Поликлиника №4 (г.Липецк, ул. Юношеская, 21а)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206697;Отделение общей врачебной практики (семейной медицины) с. Ленино
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206698;Отделение общей врачебной практики (семейной медицины) с. Ильино
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206700;Отделение общей врачебной практики (семейной медицины) д. Новая Деревня
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206701;Отделение общей врачебной практики (семейной медицины) с. Частая Дубрава
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206702;Отделение общей врачебной практики (семейной медицины) с. Троицкое
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206703;Отделение общей врачебной практики (семейной медицины) с. Ситовка
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206704;Поликлиника №3 (с.Кузьминские Отвержки)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.206707;Женская консультация
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224743;Косыревский фельдшерско-акушерский пункт (с.Косыревка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224744;Хрущевская амбулатория (с.Хрущевка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224745;Кулешовский фельдшерско-акушерский пункт (с.Кулешовка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224746;Новодмитриевский фельдшерско-акушерский пункт (с.Новодмитриевка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224747;Ивовский фельдшерско-акушерский пункт (с.Ивово)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224748;Сырский фельдшерско-акушерский пункт (с.Сырское)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224749;Сенцовский фельдшерско-акушерский пункт (с.Сенцово)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224750;Студено-Хуторской фельдшерско-акушерский пункт (с.Студеные Хутора)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224751;Студено-Выселковский фельдшерско-акушерский пункт (с.Студеные Выселки)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224752;Пружинский фельдшерско-акушерский пункт (с.Пружинки)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224753;Лубновский фельдшерско-акушерский пункт (с.Сухая Лубна)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224754;Вешаловский фельдшерско-акушерский пункт (с.Вешаловка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224755;Больше-Кузьминский фельдшерско-акушерский пункт (с.Большая Кузьминка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224756;Тюшевский фельдшерско-акушерский пункт (с.Тюшевка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224757;Васильевский фельдшерско-акушерский пункт (с.Васильевка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224758;Тележенский фельдшерско-акушерский пункт (с.Тележенка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224759;Крутогорский фельдшерско-акушерский пункт (с. Крутогорье)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224760;Подгоренский фельдшерско-акушерский пункт (с.Подгорное)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224762;Круто-Хуторской фельдшерско-акушерский пункт (с.Крутые Хутора)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224763;Грязновский фельдшерско-акушерский пункт (с.Грязное)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224764;Стебаевский фельдшерско-акушерский пункт (с.Стебаево)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.224767;Бруслановский фельдшерско-акушерский пункт (с.Бруслановка)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.225628;Варваро-Борковский фельдшерско-акушерский пункт (с.Варваро Борки)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.227067;Отделение скорой медицинской помощи
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.247155;Отделение общей врачебной практики (семейной медицины) с. Вербилово
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.297358;Детское поликлиническое отделение
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.359544;Дневной стационар
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.359961;Стационар
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.361063;Терапевтическое отделение стационара №1
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.361132;Терапевтическое отделение стационара №2
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.361172;Неврологическое отделение стационара №2
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.361196;Хирургическое отделение стационара №2
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.367019;Ильинский фельдшерско-акушерский пункт (с. Ильино)
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.369761;Стоматологическое отделение
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.394608;Отделение функциональной диагностики
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.410158;Отделение лучевой диагностики
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.410200;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4485;Государственное учреждение здравоохранения "Липецкая районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4485.0.414720;Хозяйственно-обслуживающий персонал
1.2.643.5.1.13.13.12.2.48.4555;Государственное учреждение здравоохранения "Липецкая областная станция переливания крови";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4555.0.360690;ГУЗ "ЛОСПК" г. Липецк
1.2.643.5.1.13.13.12.2.48.4555;Государственное учреждение здравоохранения "Липецкая областная станция переливания крови";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4555.0.410537;Клинико-иммунологическая лаборатория
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.227350;Отделение № 2 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.359616;Отделение №12 дневной стационар
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.359792;Отделение №11 психоневрологическое диспансерное
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361177;Отделение №1 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361189;Отделение №3 психиатрическое (туберкулезное)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361194;Отделение №4 судебно-психиатрической экспертизы
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361201;Отделение №5 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361203;Отделение №6 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361205;Отделение №6А психиатрическое (БИТ)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361207;Отделение №7 психиатрическое (инфекционное)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361208;Отделение №8 психиатрическое (детское)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361213;Отделение №9 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361215;Отделение №10 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361221;Отделение №13 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361223;Отделение №14 психиатрическое (принудительного лечения)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361226;Отделение №15 психиатрическое (подростковое)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361230;Отделение №16 психиатрическое
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361240;Приемное отделение
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361262;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361295;Вспомогательные отделения (кабинеты)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361301;Административно-управленческий персонал
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361365;Отделение кризисных состояний (Центр кризисных состояний)
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.361549;Отделение амбулаторно-судебно-психиатрической экспертизы
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413626;Бухгалтерия
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413627;Канцелярия
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413628;Отдел кадров
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413630;Отдел по расчетам с рабочими и служащими
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413631;Планово-экономический отдел
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413632;Технический отдел
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413633;Юридический отдел
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413634;Участок хозяйственного обеспечения
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413635;Гараж
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413636;Участок по строительству и ремонту
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413637;Участок водоснабжения и водоотведения
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413638;Отдел энергетического обеспечения
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.413639;Отдел закупок
1.2.643.5.1.13.13.12.2.48.4491;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4491.0.429081;Медико-реабилитационное отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.218849;Дневной стационар
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.355950;Стационар
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.356191;Поликлиника
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361145;Гастроэнтерологическое отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361153;Неврологическое отделение для больных с острыми нарушениями мозгового кровообращения (региональный сосудистый центр)
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361212;Неврологическое отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361214;Пульмонологическое отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361232;Токсикологическое отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361237;Нефрологическое отделение (центр нефрологии и диализа отделения нефрологии и эфферентной терапии)
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361239;Эндокринологическое отделение
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361241;Кардиологическое отделение для больных с острым инфарктом миокарда (региональный сосудистый центр)
1.2.643.5.1.13.13.12.2.48.4510;Государственное учреждение здравоохранения "Липецкая областная клиническая больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4510.0.361243;Кардиологическое отделение
